"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Sign a document","","","0","0","2","0","0"
"Registration","","","0","0","4","0","0"
"","","","0","2","0","0","0"
"Create Document","","","0","0","6","0","0"
"Authorization","","","0","0","1","0","0"
"Folders","","","1","0","2","0","0"
"Documents (typed)","","","0","0","7","0","0"
"Templates","","","0","0","3","0","0"
"Sign document","","","0","0","5","0","0"
"Share document","","","0","0","1","0","0"
"Forms","","","0","1","1","0","0"
"Folder","","","0","0","1","0","0"
