"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Settings","Billing","","0","0","24","0","0"
"Sign document","","","0","0","24","0","0"
"Settings","Profile","","0","0","27","0","0"
"Create Document","","","0","0","27","0","0"
"Settings","API","","0","0","18","0","0"
"Documents (typed)","","","0","0","27","0","0"
"Folders","","","0","0","21","0","0"
"Team","","","0","0","15","0","0"
"Authorization","","","0","0","3","0","0"
"Settings","Edit signature","","0","0","9","0","0"
"Verification of supporting tests","document formats","","0","0","45","0","0"
"Forms","","","0","0","15","0","0"
"Settings","Company","","0","0","6","0","0"
"Verification of supporting tests","Tests to maintain New User Creation.","","0","0","6","0","0"
"Registration","","","0","0","18","0","0"
"Templates","","","0","0","15","0","0"
"Verification of supporting tests","Gmail","","0","0","3","0","0"
